PARAMETERNAMN,PROV_BERED,PROVKARL,ANALYS_MET,ACKREDITERAD_MET,ANALYS_INSTR,LABB
Silver,SS-EN13805-2009,PLAST,"SS-EN 13805, SS-EN ISO 17294-2",Ja,ICPMS,"ACES metall, Stockholms universitet"
Aluminium,SS-EN13805-2009,PLAST,"SS-EN 13805, SS-EN ISO 17294-2",Ja,ICPMS,"ACES metall, Stockholms universitet"
Arsenik,SS-EN13805-2009,PLAST,"SS-EN 13805, SS-EN ISO 17294-2",Ja,ICPMS,"ACES metall, Stockholms universitet"
Kadmium,SS-EN13805-2009,PLAST,"SS-EN 13805, SS-EN ISO 17294-2",Ja,ICPMS,"ACES metall, Stockholms universitet"
Krom,SS-EN13805-2009,PLAST,"SS-EN 13805, SS-EN ISO 17294-2",Ja,ICPMS,"ACES metall, Stockholms universitet"
Koppar,SS-EN13805-2009,PLAST,"SS-EN 13805, SS-EN ISO 17294-2",Ja,ICPMS,"ACES metall, Stockholms universitet"
Nickel,SS-EN13805-2009,PLAST,"SS-EN 13805, SS-EN ISO 17294-2",Ja,ICPMS,"ACES metall, Stockholms universitet"
Bly,SS-EN13805-2009,PLAST,"SS-EN 13805, SS-EN ISO 17294-2",Ja,ICPMS,"ACES metall, Stockholms universitet"
Selen,SS-EN13805-2009,PLAST,"SS-EN 13805, SS-EN ISO 17294-2",Nej,ICPMS,"ACES metall, Stockholms universitet"
Tenn,SS-EN13805-2009,PLAST,"SS-EN 13805, SS-EN ISO 17294-2",Nej,ICPMS,"ACES metall, Stockholms universitet"
Zink,SS-EN13805-2009,PLAST,"SS-EN 13805, SS-EN ISO 17294-2",Ja,ICPMS,"ACES metall, Stockholms universitet"
Antimon,SS-EN13805-2009,PLAST,"SS-EN 13805, SS-EN ISO 17294-2",Nej,ICPMS,"ACES metall, Stockholms universitet"
Vismut,SS-EN13805-2009,PLAST,"SS-EN 13805, SS-EN ISO 17294-2",Nej,ICPMS,"ACES metall, Stockholms universitet"
PBDE47,ACHEXDEE,GLAS,Bromanalys5,Nej,GC-MS,"ACES CLC/BFR, Stockholms universitet"
PBDE99,ACHEXDEE,GLAS,Bromanalys5,Nej,GC-MS,"ACES CLC/BFR, Stockholms universitet"
PBDE100,ACHEXDEE,GLAS,Bromanalys5,Nej,GC-MS,"ACES CLC/BFR, Stockholms universitet"
PBDE153,ACHEXDEE,GLAS,Bromanalys5,Nej,GC-MS,"ACES CLC/BFR, Stockholms universitet"
PBDE154,ACHEXDEE,GLAS,Bromanalys5,Nej,GC-MS,"ACES CLC/BFR, Stockholms universitet"
HBCD,ACHEXDEE,GLAS,Bromanalys5,Nej,GC-MS,"ACES CLC/BFR, Stockholms universitet"
Hexaklorbensen,ACHEXDEE,GLAS,GC/ECD-PCB/OCP-3,Ja,GC-ECD,"ACES CLC/BFR, Stockholms universitet"
alfa-HCH,ACHEXDEE,GLAS,GC/ECD-PCB/OCP-3,Ja,GC-ECD,"ACES CLC/BFR, Stockholms universitet"
beta-HCH,ACHEXDEE,GLAS,GC/ECD-PCB/OCP-3,Ja,GC-ECD,"ACES CLC/BFR, Stockholms universitet"
Lindan,ACHEXDEE,GLAS,GC/ECD-PCB/OCP-3,Ja,GC-ECD,"ACES CLC/BFR, Stockholms universitet"
DDE,ACHEXDEE,GLAS,GC/ECD-PCB/OCP-3,Ja,GC-ECD,"ACES CLC/BFR, Stockholms universitet"
DDD,ACHEXDEE,GLAS,GC/ECD-PCB/OCP-3,Ja,GC-ECD,"ACES CLC/BFR, Stockholms universitet"
DDT,ACHEXDEE,GLAS,GC/ECD-PCB/OCP-3,Ja,GC-ECD,"ACES CLC/BFR, Stockholms universitet"
PCB28,ACHEXDEE,GLAS,GC/ECD-PCB/OCP-3,Ja,GC-ECD,"ACES CLC/BFR, Stockholms universitet"
PCB52,ACHEXDEE,GLAS,GC/ECD-PCB/OCP-3,Ja,GC-ECD,"ACES CLC/BFR, Stockholms universitet"
PCB101,ACHEXDEE,GLAS,GC/ECD-PCB/OCP-3,Ja,GC-ECD,"ACES CLC/BFR, Stockholms universitet"
PCB118,ACHEXDEE,GLAS,GC/ECD-PCB/OCP-3,Ja,GC-ECD,"ACES CLC/BFR, Stockholms universitet"
PCB153,ACHEXDEE,GLAS,GC/ECD-PCB/OCP-3,Ja,GC-ECD,"ACES CLC/BFR, Stockholms universitet"
PCB138+PCB163,ACHEXDEE,GLAS,GC/ECD-PCB/OCP-3,Ja,GC-ECD,"ACES CLC/BFR, Stockholms universitet"
PCB180,ACHEXDEE,GLAS,GC/ECD-PCB/OCP-3,Ja,GC-ECD,"ACES CLC/BFR, Stockholms universitet"
"2,3,7,8-TCDD",ACHEXHEXE,PLAST,"Dioxiner, pPCB",Ja,GC-HRMS,"Umeå universitet, Kemiska institutionen"
"1,2,3,7,8-PeCDD",ACHEXHEXE,PLAST,"Dioxiner, pPCB",Ja,GC-HRMS,"Umeå universitet, Kemiska institutionen"
"1,2,3,4,7,8-HxCDD",ACHEXHEXE,PLAST,"Dioxiner, pPCB",Ja,GC-HRMS,"Umeå universitet, Kemiska institutionen"
"1,2,3,6,7,8-HxCDD",ACHEXHEXE,PLAST,"Dioxiner, pPCB",Ja,GC-HRMS,"Umeå universitet, Kemiska institutionen"
"1,2,3,7,8,9-HxCDD",ACHEXHEXE,PLAST,"Dioxiner, pPCB",Ja,GC-HRMS,"Umeå universitet, Kemiska institutionen"
"1,2,3,4,6,7,8-HpCDD",ACHEXHEXE,PLAST,"Dioxiner, pPCB",Ja,GC-HRMS,"Umeå universitet, Kemiska institutionen"
"1,2,3,4,6,7,8,9-OCDD",ACHEXHEXE,PLAST,"Dioxiner, pPCB",Ja,GC-HRMS,"Umeå universitet, Kemiska institutionen"
"2,3,7,8-TCDF",ACHEXHEXE,PLAST,"Dioxiner, pPCB",Ja,GC-HRMS,"Umeå universitet, Kemiska institutionen"
"1,2,3,7,8-PeCDF",ACHEXHEXE,PLAST,"Dioxiner, pPCB",Ja,GC-HRMS,"Umeå universitet, Kemiska institutionen"
"2,3,4,7,8-PeCDF",ACHEXHEXE,PLAST,"Dioxiner, pPCB",Ja,GC-HRMS,"Umeå universitet, Kemiska institutionen"
"1,2,3,4,7,8-HxCDF",ACHEXHEXE,PLAST,"Dioxiner, pPCB",Ja,GC-HRMS,"Umeå universitet, Kemiska institutionen"
"1,2,3,6,7,8-HxCDF",ACHEXHEXE,PLAST,"Dioxiner, pPCB",Ja,GC-HRMS,"Umeå universitet, Kemiska institutionen"
"2,3,4,6,7,8-HxCDF",ACHEXHEXE,PLAST,"Dioxiner, pPCB",Ja,GC-HRMS,"Umeå universitet, Kemiska institutionen"
